Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Mexico,"CCC Río Bravo II, III & IV",Natural gas,,"Valle Hermoso, Tamaulipas",active,1500,2004,Mitsui,private,Ciudad de Mexico,,,https://www.mitsui.com/mx/es/business/1217103_9509.html,25.8003162,-97.78214,1500.0,Gas
Mexico,CCC Saltillo,Natural gas,,"Saltillo, Coahuila",active,248,2001,Mitsui,private,Ciudad de Mexico,,,,25.5952454,-100.90977,248.0,Gas
Mexico,CCC Huinalá,Natural gas,vapour,"Pesquería, Nuevo León",active,378,1981,Comisión Federal de Electricidad (CFE),state-owned,Ciudad de Mexico,100% state-owned,,,25.7219337,-100.10354,378.0,Gas
Mexico,CCC Huinalá II,Natural gas,,"Pesquería, Nuevo León",active,471,2000,Comisión Federal de Electricidad (CFE),state-owned,Ciudad de Mexico,100% state-owned,,,25.7199812,-100.1011,471.0,Gas
Mexico,CCC Gómez Palacio,Natural gas,,"Gómez Palacio, Durango",active,240,,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,25.5934961,-103.47931,240.0,Gas
Mexico,CCC Dos Bocas,Natural gas,,"Dos Bocas, Veracruz",active,452,1974,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,19.0852367,-96.146765,452.0,Gas
Mexico,CCC Bajío,Natural gas,,"San Luis de la Paz, Guanajuato",active,645,2002,Saavi Energía,private,CDMX,,,,21.2425824,-100.61048,645.0,Gas
Mexico,Central de Turbogás Nonoalco,Natural gas,,Ciudad de Mexico,active,120,1970,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,19.4503984,-99.148429,120.0,Gas
Mexico,CTG Coyotepec,Natural gas,,"Coyotepec, Mexico",active,64,1997,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,19.6904342,-99.277821,64.0,Gas
Mexico,CTG Cancún,Natural gas,,"Cancún, Quintana Roo",active,102,2000,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,21.1199161,-86.86789,102.0,Gas
Mexico,CTG Los Cabos,Natural gas,,"Los Cabos, Baja California Sur",active,85,2000,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,22.56273,-110.00185,85.0,Gas
Mexico,CTG Chankanaab,Natural gas,,"Cozumel, Quintana Roo",active,53,2000,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,20.4739244,-86.959698,53.0,Gas
Mexico,CTG Nizuc,Natural gas,,"Cancún, Quintana Roo",active,88,2000,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,21.0694709,-86.848083,88.0,Gas
Mexico,CTCC Energía de Celaya,Natural gas,vapour,"Cortázar, Guanajuato",under construction,1350,,DeAcero/Fisterra,private,CDMX,,,,20.5003034,-100.93189,1350.0,Gas
Mexico,CCC Juandhó,Natural gas,,"Tetepango, Hidalgo",under construction,650,,Sindicato Mexicano de Electricistas,private,CDMX,,,,20.1555833,-99.186984,650.0,Gas
